city_name,dataset_file,total_months,years_covered,start_year,end_year
Aspen,Aspen_forecast_2025_2027.csv,36,2025-2027,2025,2027
Albuquerque,Albuquerque_forecast_2025_2027.csv,36,2025-2027,2025,2027
Billington,Billington_forecast_2025_2027.csv,36,2025-2027,2025,2027
Chicago,Chicago_forecast_2025_2027.csv,36,2025-2027,2025,2027
Chandler,Chandler_forecast_2025_2027.csv,36,2025-2027,2025,2027
Dodge_City,Dodge_City_forecast_2025_2027.csv,36,2025-2027,2025,2027
Denton,Denton_forecast_2025_2027.csv,36,2025-2027,2025,2027
El_Paso,El_Paso_forecast_2025_2027.csv,36,2025-2027,2025,2027
Greensburg,Greensburg_forecast_2025_2027.csv,36,2025-2027,2025,2027
Honolulu,Honolulu_forecast_2025_2027.csv,36,2025-2027,2025,2027
Los_Angeles,Los_Angeles_forecast_2025_2027.csv,36,2025-2027,2025,2027
Las_Vegas,Las_Vegas_forecast_2025_2027.csv,36,2025-2027,2025,2027
New_York_City,New_York_City_forecast_2025_2027.csv,36,2025-2027,2025,2027
Phoenix,Phoenix_forecast_2025_2027.csv,36,2025-2027,2025,2027
Reno,Reno_forecast_2025_2027.csv,36,2025-2027,2025,2027
San_Diego,San_Diego_forecast_2025_2027.csv,36,2025-2027,2025,2027
San_Francisco,San_Francisco_forecast_2025_2027.csv,36,2025-2027,2025,2027
San_Jose,San_Jose_forecast_2025_2027.csv,36,2025-2027,2025,2027
Salt_Lake_City,Salt_Lake_City_forecast_2025_2027.csv,36,2025-2027,2025,2027
Tucson,Tucson_forecast_2025_2027.csv,36,2025-2027,2025,2027
