Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.4437737,0.5083639,-0.8521436,-1.0251384,-0.8867824,-0.95574224,0.012472078,-0.9686343,0.23609777,-1.0865211
2025,2,-1.189436,0.13000102,-0.8207195,-0.82459545,-0.90904284,-0.56336004,0.2629622,-1.0227263,0.5108608,-0.7349032
2025,3,-0.73101753,-0.5448771,-0.72710586,-0.38815492,-0.8798628,0.032347057,0.4528585,-1.0637211,0.8609347,-0.34853965
2025,4,-0.109516904,-1.2637051,-0.56644744,0.17087063,-0.6190621,0.8467024,0.4668285,-1.0770802,1.3081868,-0.07876566
2025,5,0.56818956,-1.5181159,-0.11587995,0.65221715,-0.04798156,1.359833,0.39789423,-1.0665925,1.5937167,0.31035322
2025,6,1.1073368,-0.37914324,0.8642813,0.96926105,0.83659667,0.9917062,0.2506643,-1.0675008,-0.08311225,0.8539104
2025,7,1.2920407,0.9558487,1.7302543,1.1119891,1.5734688,0.48211938,-0.13046598,-1.0716959,-0.80520535,1.3597727
2025,8,1.214617,1.3339756,1.6333128,1.0140496,1.6056175,-0.1260141,-0.4286421,-1.0643153,-1.4267592,1.4398408
2025,9,0.8838489,0.99013513,0.5327263,0.4634905,0.8701328,-0.48443165,-0.752282,-1.0731839,-1.1532699,0.47153258
2025,10,0.124236524,0.66670966,-0.35482895,-0.40218502,-0.0765137,-0.7297745,-0.7507502,-1.0505519,-0.6850195,-0.6492989
2025,11,-0.76819944,0.28002694,-0.78682816,-0.99980485,-0.7185929,-0.85118467,-0.5142273,-1.0362816,-0.45446196,-1.4397668
2025,12,-1.2637807,0.21236855,-0.84218466,-1.125124,-0.8723193,-0.7910318,-0.407263,-1.0515331,0.004351966,-1.4482105
2026,1,-1.3891639,-0.15187195,-0.85900486,-1.0546911,-0.9085832,-0.6074495,-0.14463392,-1.0766375,0.22456013,-1.1166983
2026,2,-1.0967386,-0.5023361,-0.8199624,-0.8931532,-0.9257192,-0.19434848,0.06322621,-1.088978,0.4920404,-0.6999083
2026,3,-0.59586316,-0.8250808,-0.71988386,-0.5019888,-0.90737826,0.32202336,0.23246612,-1.0971005,0.85317653,-0.34904468
2026,4,0.041875347,-1.2125039,-0.5512256,0.061977834,-0.64148444,0.9782552,0.328293,-1.1017712,1.2759804,-0.075972036
2026,5,0.69468063,-1.3785818,-0.041982576,0.5775464,-0.06902462,1.3760492,0.32436156,-1.1053255,1.5836887,0.31329462
2026,6,1.15387,-0.22710794,0.942843,0.92068017,0.8045581,1.159407,0.21385984,-1.1099349,-0.037035175,0.85472965
2026,7,1.2704766,1.098521,1.7903429,1.1069715,1.5837663,0.4910208,0.0100362,-1.1149487,-0.8645502,1.3617284
2026,8,1.137257,1.2550972,1.5545563,1.064164,1.6336399,-0.19010124,-0.21632555,-1.1203007,-1.3743383,1.378222
2026,9,0.7584205,0.90122056,0.4385342,0.62408024,0.91086954,-0.58007437,-0.39424703,-1.1270769,-1.1779965,0.3919564
2026,10,-0.07986058,0.5918211,-0.41827965,-0.23290889,-0.036281995,-0.81789476,-0.45068845,-1.1341785,-0.68165123,-0.7841026
2026,11,-0.9096377,0.5088393,-0.7936801,-0.9337851,-0.7094893,-0.93337244,-0.3971096,-1.1441878,-0.3766255,-1.4271699
2026,12,-1.3139577,0.38891017,-0.8442594,-1.1064264,-0.87382895,-0.8599786,-0.29988053,-1.1564533,-0.0027320534,-1.3907129
2027,1,-1.3426405,0.06592865,-0.8581605,-1.0722466,-0.914275,-0.6353238,-0.15885192,-1.1685238,0.2263782,-1.0899704
2027,2,-0.98530525,-0.37293017,-0.81333673,-0.93262327,-0.92889374,-0.20919873,-0.015790045,-1.1794723,0.4953211,-0.6629021
2027,3,-0.4484862,-0.85045123,-0.7080627,-0.59066933,-0.9183171,0.32874504,0.10802038,-1.1902882,0.85178274,-0.3225399
2027,4,0.20492806,-1.292734,-0.5254532,-0.05326143,-0.66423273,1.015564,0.18850844,-1.2013927,1.2688059,-0.045808055
2027,5,0.81871796,-1.3783795,0.040079184,0.50268215,-0.10164784,1.4235339,0.20612639,-1.213179,1.5668354,0.36139548
2027,6,1.1872039,-0.19053309,1.0344023,0.86273605,0.76140356,1.1944463,0.15417421,-1.2258534,-0.057159252,0.9088538
2027,7,1.2504789,1.0996833,1.8249701,1.0836489,1.571385,0.45627353,0.04639712,-1.2394313,-0.88946015,1.3815211
2027,8,1.0649227,1.2579424,1.4540397,1.0928668,1.6590465,-0.2239441,-0.092714876,-1.2539616,-1.3761764,1.3141416
2027,9,0.58679014,0.9183465,0.34479535,0.74717057,0.9560881,-0.59962493,-0.21137333,-1.2694823,-1.1632853,0.27503315
2027,10,-0.28637937,0.6092005,-0.4776131,-0.05515255,0.0020094607,-0.83664435,-0.2726341,-1.2859279,-0.663482,-0.89285654
2027,11,-1.0340123,0.49943325,-0.8004694,-0.83806944,-0.69844496,-0.9537435,-0.2680252,-1.3033037,-0.35274997,-1.4257898
2027,12,-1.3456154,0.35872847,-0.8471074,-1.0915331,-0.8718459,-0.87419534,-0.22061577,-1.3213992,0.009135594,-1.3660719
