Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.2184047,0.7418926,-0.9708109,-0.86365,-1.0007287,-0.98077023,0.070684195,-0.43542355,-0.056830782,-0.14522862
2025,2,-1.1786234,0.7169961,-0.99338007,-0.60223156,-0.842268,-0.37345263,0.3179944,-0.48528174,0.033334464,0.076413706
2025,3,-0.87656873,0.71186316,-0.9412695,-0.15613928,-0.6115425,0.28744596,0.4247881,-0.56616694,0.47238994,0.1538586
2025,4,-0.31876045,0.7240876,-0.8074393,0.23661378,-0.32190782,1.0023806,0.32499102,-0.6493333,1.6136258,0.23810811
2025,5,0.33411163,0.75093806,-0.351504,0.45086813,0.12351416,1.3739109,0.17635779,-0.7078317,1.9938363,0.35116
2025,6,0.9980449,0.78707016,0.46849045,0.57212585,0.6873192,1.117991,-0.13660623,-0.75105333,-0.98645616,0.5804721
2025,7,1.3508149,0.83045197,1.4725837,0.6446804,1.3041573,0.4327847,-0.47207287,-0.7605505,-0.7420047,0.84747124
2025,8,1.329464,0.870991,1.8566561,0.56228966,1.5062699,-0.22621015,-0.7689066,-0.74226654,-1.4428133,0.95512384
2025,9,1.0074668,0.8991749,1.3181959,0.2708068,0.9477075,-0.56388265,-1.0444963,-0.7206992,-0.14397188,-0.40340644
2025,10,0.24457699,0.9109537,0.23245548,-0.198535,0.027051613,-0.83553624,-1.1720389,-0.6763197,-0.3453712,-1.3631588
2025,11,-0.53874344,0.9082825,-0.4748529,-0.5541192,-0.73665845,-0.94080085,-1.0771161,-0.62811494,-0.41502064,-1.6470097
2025,12,-1.083038,0.89852273,-0.7731639,-0.75516796,-1.0131493,-0.8406791,-0.8462519,-0.6087777,-0.105588354,-1.1637009
2026,1,-1.2127018,0.88545084,-0.9362087,-0.7627394,-1.036242,-0.41271392,-0.49227545,-0.6149002,-0.054768804,-0.5275321
2026,2,-1.1606437,0.8709278,-0.986315,-0.5716197,-0.9082842,0.19403869,-0.12506884,-0.6271682,0.043565758,-0.033727627
2026,3,-0.80586654,0.8573498,-0.9515066,-0.22154725,-0.67237055,0.6630957,0.17119564,-0.64514303,0.66402894,0.08639001
2026,4,-0.23021266,0.84639764,-0.84687114,0.17727254,-0.34573507,1.1203036,0.29883382,-0.6630275,2.2107081,0.17139418
2026,5,0.4297133,0.83901477,-0.4821965,0.41829675,0.12301354,1.3646579,0.30301997,-0.6765651,1.7864976,0.29978907
2026,6,1.0642381,0.83546525,0.24728076,0.5629668,0.6885894,1.2482362,0.16471498,-0.683971,-1.487069,0.58360916
2026,7,1.359167,0.83544385,1.185378,0.63450676,1.3229998,0.51611763,-0.070598766,-0.6845147,-1.2382678,0.92370975
2026,8,1.2914495,0.83820856,1.7854354,0.608423,1.5260879,-0.26864478,-0.35995358,-0.6796944,-1.1767263,0.8437872
2026,9,0.9175987,0.8427193,1.5171827,0.36564928,0.9999423,-0.6017645,-0.6889433,-0.67200476,-0.24517553,-0.30951506
2026,10,0.13459018,0.8478565,0.5110601,-0.08442441,0.0772823,-0.8856402,-0.9580292,-0.66331816,-0.3499491,-1.37297
2026,11,-0.6190393,0.85265017,-0.3863856,-0.46089947,-0.7070409,-1.0761244,-1.1294558,-0.65655357,-0.18927081,-1.8331835
2026,12,-1.112293,0.8564353,-0.7118131,-0.6709091,-1.0285163,-1.0022768,-1.1291913,-0.6536982,-0.1001821,-1.4701722
2027,1,-1.2080412,0.85888636,-0.90264934,-0.71140254,-1.0539258,-0.5450181,-0.9455802,-0.65434945,-0.039260235,-0.7945293
2027,2,-1.1275952,0.8599582,-0.975714,-0.55810803,-0.93066937,0.030331163,-0.6427244,-0.6571219,0.07583829,-0.19001214
2027,3,-0.7335227,0.8598204,-0.95826334,-0.23897232,-0.6957384,0.53853637,-0.28925303,-0.6609313,0.9786421,0.054197993
2027,4,-0.14438505,0.85878474,-0.87215114,0.15393466,-0.37738633,1.0799085,0.035803273,-0.66457975,2.4939508,0.13914672
2027,5,0.53078634,0.85722244,-0.5843501,0.4092486,0.08978565,1.3868475,0.23519506,-0.66720486,0.99355876,0.25167194
2027,6,1.1264127,0.8554946,0.07051739,0.55984867,0.6502221,1.3214892,0.28683606,-0.668404,-1.8832982,0.52426666
2027,7,1.3679676,0.853901,0.97664475,0.6370263,1.2947023,0.6132615,0.20654087,-0.6681981,-1.3982074,0.9054581
2027,8,1.2521207,0.8526505,1.7130679,0.62402964,1.5372682,-0.23236686,0.0142480545,-0.6669657,-0.8512492,0.9807293
2027,9,0.82363725,0.85185057,1.6479368,0.39570442,1.0603695,-0.5967051,-0.25064126,-0.6652553,-0.20802385,0.011249023
2027,10,0.028875435,0.85151577,0.73993206,-0.044850476,0.14128363,-0.886292,-0.5612107,-0.6636073,-0.19579853,-1.0946658
2027,11,-0.71156317,0.8515862,-0.25464067,-0.42640895,-0.6648367,-1.0995694,-0.85932875,-0.6624644,-0.09370222,-1.8182989
2027,12,-1.1355733,0.8519552,-0.6500672,-0.63856816,-1.0226837,-1.0759184,-1.0689257,-0.66202646,-0.054419044,-1.7198697
