Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.1796491,0.69853216,-0.99418974,-0.4517863,-1.1727194,-0.9576825,0.8868193,0.062442258,0.56854427,-0.074734285
2025,2,-1.0766197,-0.25517273,-0.8919064,0.0013094032,-1.0767883,0.13544212,0.77800006,-0.057203054,0.82933646,-0.042177886
2025,3,-0.7609592,-0.8157221,-0.6635109,0.40745133,-0.7679014,0.9357683,0.66968787,-0.2157623,1.0284553,-0.026571877
2025,4,-0.30903897,-1.1843134,-0.10029473,0.61925924,-0.18071333,1.1428562,0.3567419,-0.48810008,1.0904784,-0.013710553
2025,5,0.20286813,-1.1392436,0.6930741,0.66890216,0.4888456,1.0298163,-0.04265613,-0.7362431,0.9077458,-0.009048512
2025,6,0.77444696,-0.720103,1.128369,0.60133094,1.0705245,0.64916074,-0.44051707,-0.91060805,-0.5163399,-0.0053613107
2025,7,1.1691283,-0.28360575,1.2195725,0.3732863,1.273678,0.18085325,-0.6748548,-1.0018065,-1.8163124,0.0019483096
2025,8,1.300628,-0.09575558,0.99097914,0.04913374,1.1566633,-0.25157374,-0.91812426,-1.048255,-1.8347173,0.0075646057
2025,9,1.1278936,0.124720335,0.40723056,-0.28765863,0.7989622,-0.6297132,-1.0296837,-1.0474353,-0.21622647,0.010182539
2025,10,0.5837561,0.42765868,-0.35340893,-0.5400649,0.1185419,-0.9976365,-0.80035555,-0.8784477,0.05335505,0.0045449766
2025,11,-0.16694063,0.7159869,-0.8038112,-0.627792,-0.5696511,-1.2208828,0.015828744,-0.60776854,0.053968403,-0.009740921
2025,12,-0.73931473,1.0367147,-1.038417,-0.53948134,-1.018381,-1.0529555,0.5629736,-0.31828177,0.26570016,-0.011108152
2026,1,-1.1385425,1.0431908,-1.0376048,-0.31579614,-1.1777563,-0.5483559,0.8012477,-0.1708992,0.50822455,-0.011894044
2026,2,-1.139163,0.13657464,-0.8993298,-0.04235595,-1.0697441,0.59290534,0.82855463,-0.11363906,0.7326615,-0.012379954
2026,3,-0.8595519,-0.5922192,-0.6400566,0.20850965,-0.6982975,0.9964842,0.6479938,-0.17755875,0.9195837,-0.012752505
2026,4,-0.38618615,-0.8887987,0.0035160603,0.3726618,-0.07555852,1.1163006,0.2889411,-0.34708545,1.000366,-0.01303681
2026,5,0.12653193,-0.8613872,0.8064713,0.41875592,0.60436594,1.0413471,-0.17473368,-0.5727712,0.83695245,-0.013247088
2026,6,0.7117455,-0.6020611,1.2032024,0.34642783,1.1532058,0.71364737,-0.49838573,-0.7676264,-0.61058265,-0.013401723
2026,7,1.1359766,-0.31060144,1.2604228,0.18071423,1.2965845,0.17158212,-0.6764623,-0.9052373,-1.7916578,-0.01351193
2026,8,1.2933774,-0.11949502,0.9937972,-0.028962843,1.1334615,-0.26623625,-0.82378167,-0.98860836,-1.7674963,-0.013582444
2026,9,1.1575472,0.007997338,0.3810295,-0.22474514,0.7177546,-0.67388767,-0.836308,-1.0177503,-0.15916057,-0.013620786
2026,10,0.660557,0.21769506,-0.40661776,-0.35109228,0.002831339,-1.0575354,-0.6285819,-0.94873965,0.04764432,-0.0136351995
2026,11,-0.0707779,0.496458,-0.8564509,-0.37926114,-0.67167014,-1.3073878,-0.0404007,-0.79770213,0.07931714,-0.013638921
2026,12,-0.6574959,0.7995838,-1.0688889,-0.309829,-1.0742532,-1.181612,0.49504185,-0.6081613,0.32500347,-0.0136465095
2027,1,-1.1141883,0.9493238,-1.0541276,-0.16871905,-1.189936,-0.46771017,0.7597461,-0.42582324,0.5654227,-0.013651498
2027,2,-1.1654501,0.3843264,-0.9040725,-0.0041105924,-1.0457909,0.6369408,0.7789459,-0.30044895,0.77534336,-0.013654653
2027,3,-0.9227723,-0.4397086,-0.62866026,0.13850349,-0.61860555,1.0144428,0.5692106,-0.26683462,0.93637747,-0.01365656
2027,4,-0.4503382,-0.7365168,0.049142364,0.22390674,0.024813127,1.127498,0.19348818,-0.3280473,0.979477,-0.013657674
2027,5,0.04516067,-0.7907296,0.85169613,0.23723732,0.7051047,1.0510218,-0.24654387,-0.46647966,0.68595815,-0.013658306
2027,6,0.63843447,-0.6140733,1.2385612,0.18003449,1.2061818,0.7158251,-0.51449764,-0.63618684,-0.8731243,-0.013658654
2027,7,1.0997051,-0.37747863,1.2783267,0.071004726,1.2989848,0.15756796,-0.6809859,-0.7916249,-1.869998,-0.013658848
2027,8,1.2898014,-0.1745908,0.9907572,-0.057335425,1.0999805,-0.27715993,-0.79773974,-0.89993405,-1.6194758,-0.013658967
2027,9,1.194899,-0.043073095,0.35067943,-0.16791922,0.61951506,-0.6843126,-0.78774744,-0.96326935,-0.048809197,-0.013659053
2027,10,0.7448835,0.1569511,-0.43336433,-0.23138575,-0.11547655,-1.0729338,-0.5522706,-0.9678847,0.043860998,-0.013659112
2027,11,0.029436208,0.41464403,-0.8768599,-0.23461734,-0.7515061,-1.3294555,-0.00046733767,-0.8985709,0.12565723,-0.013659151
2027,12,-0.5988902,0.6992746,-1.0802937,-0.18208267,-1.114565,-1.2006314,0.5039143,-0.7786304,0.37568182,-0.01365917
