Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.576415,1.6818259,-0.70506215,-0.63299996,-0.83129436,-0.9168441,0.6564645,-0.9353676,0.3120097,-0.6499267
2025,2,-1.5319918,1.5526927,-0.78225243,-0.3738385,-0.9019252,-0.6754704,0.40326577,-0.98639214,0.58728635,-0.57292503
2025,3,-1.209279,0.7583947,-0.81453556,-0.021061486,-0.99003404,-0.23381282,-0.07358533,-1.0415665,0.83520937,-0.5024953
2025,4,-0.576422,-0.32754,-0.7121205,0.3156117,-0.9048618,0.5861398,-0.17700015,-1.0656582,1.1307751,-0.45380288
2025,5,0.2446677,-1.1048778,-0.16504498,0.58309895,-0.43006378,1.436455,-0.18310489,-1.0556017,1.4836223,-0.27328718
2025,6,1.0588223,-1.2370328,0.9532624,0.7618631,0.8630777,1.1480244,-0.15786341,-1.0271002,-0.26761207,0.2304699
2025,7,1.5598508,-1.087039,1.9295976,0.84117365,2.1493337,0.466474,-0.20420775,-1.0345823,-0.9816906,1.0287918
2025,8,1.6490471,-0.90973544,1.6552317,0.6687638,1.9425431,-0.056433856,-0.24548462,-1.0387436,-1.7616109,1.4350475
2025,9,1.3498536,-0.68740606,0.25452396,0.19832292,0.78022957,-0.38102895,-0.34725165,-1.0590503,-1.3036652,0.580774
2025,10,0.62012446,-0.29378498,-0.41175604,-0.42300338,-0.12809362,-0.65022266,-0.6750929,-1.04,-0.20738977,-0.18475634
2025,11,-0.3589635,0.39941758,-0.5980575,-0.8749243,-0.512596,-0.8298993,0.29441684,-1.0215107,-0.08027677,-0.5757739
2025,12,-1.2270256,1.0957813,-0.67918473,-0.9356091,-0.56604624,-0.82969236,0.6519076,-1.0350182,0.1605668,-0.6529757
2026,1,-1.6438725,1.4949381,-0.712951,-0.7499708,-0.5856794,-0.7141944,0.79863995,-1.0361692,0.3432819,-0.6552597
2026,2,-1.6703154,1.5062975,-0.7935778,-0.48004606,-0.65485924,-0.44606298,0.69995356,-1.0433387,0.6127741,-0.63682944
2026,3,-1.3889974,0.8902289,-0.8270049,-0.1795054,-0.7070939,0.07437411,0.43129775,-1.0476041,0.82295424,-0.5800382
2026,4,-0.7782439,-0.12262066,-0.6973339,0.16011423,-0.70959306,0.79286873,0.23503925,-1.0482771,1.1040695,-0.48607826
2026,5,0.0387496,-0.95221615,-0.13417073,0.45277494,-0.15141673,1.4793674,-0.05932891,-1.0471336,1.4782925,-0.27215344
2026,6,0.928214,-1.1713686,0.93837315,0.6386297,0.94531596,1.3998919,-0.2710965,-1.0464675,-0.29403815,0.12335937
2026,7,1.5505835,-1.0714447,1.9131842,0.72243357,1.9962782,0.5319319,-0.4219899,-1.0477587,-1.0880494,0.9321317
2026,8,1.7380868,-0.9016536,1.5453024,0.617066,1.8136005,-0.099349126,-0.5356887,-1.048637,-1.8370621,1.1624895
2026,9,1.5335395,-0.6813497,0.22632462,0.23459275,0.5832285,-0.44687253,-0.57301766,-1.0492738,-1.3070151,0.4733634
2026,10,0.88996476,-0.32376334,-0.4078308,-0.29222447,-0.30820003,-0.72657156,-0.20245758,-1.0484495,-0.21681523,-0.24929112
2026,11,-0.037649617,0.32751712,-0.5904482,-0.73017883,-0.48392853,-0.9053606,0.52627367,-1.0488718,0.009859946,-0.52443635
2026,12,-1.0554054,1.0157753,-0.6750661,-0.85652447,-0.523108,-0.8944862,0.74602365,-1.0506953,0.17815967,-0.6041021
2027,1,-1.6098557,1.4226122,-0.71162987,-0.7378951,-0.57026523,-0.75637436,0.8317603,-1.0517555,0.37825456,-0.63122445
2027,2,-1.7512447,1.4725046,-0.7899667,-0.5160152,-0.6415612,-0.48893338,0.84016806,-1.0528343,0.6361015,-0.6186593
2027,3,-1.5396479,0.936569,-0.8203888,-0.2562067,-0.6858383,0.008083329,0.9274132,-1.0534927,0.8532483,-0.569313
2027,4,-1.0134836,-0.036753785,-0.6733218,0.05276756,-0.6151841,0.71806586,0.685157,-1.0538831,1.1345316,-0.48433465
2027,5,-0.2460244,-0.8764061,-0.09741265,0.3575343,0.030714711,1.4824154,0.081045374,-1.0542353,1.4801273,-0.31801957
2027,6,0.6934319,-1.1422983,0.9845856,0.5593567,1.1215088,1.5014483,-0.29788873,-1.0546825,-0.34873998,-0.0035589114
2027,7,1.4253851,-1.064272,1.903238,0.66602784,1.9947733,0.57507485,-0.48373136,-1.0552073,-1.1329529,0.6502849
2027,8,1.7483559,-0.8991822,1.4711988,0.6172316,1.5821627,-0.08764619,-0.59632194,-1.0556793,-1.876573,0.779574
2027,9,1.6766651,-0.68405885,0.18369335,0.3053926,0.3549569,-0.4413914,-0.61646944,-1.0561221,-1.2507229,0.21699314
2027,10,1.175321,-0.3461461,-0.42174202,-0.164833,-0.37594256,-0.72356176,-0.13455337,-1.0565511,-0.20614055,-0.32212782
2027,11,0.29569066,0.2867536,-0.59386206,-0.63038725,-0.49047878,-0.9131246,0.42155477,-1.0570723,0.017073628,-0.49762982
2027,12,-0.7708351,0.9725079,-0.67557853,-0.81892395,-0.5193535,-0.9090657,0.6417639,-1.0576092,0.17604837,-0.56173587
