Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.3978928,0.10647802,-0.98948,-1.1354718,-1.0278449,-1.4434266,0.068968244,-1.085546,0.14500049,-1.1730611
2025,2,-1.25173,-0.31105444,-0.9416926,-0.75202084,-1.0288669,-0.97983724,0.18946876,-1.1758264,0.15102491,-0.7935432
2025,3,-0.7600167,-0.7794788,-0.7944718,-0.16349244,-0.757575,0.22664864,0.3721701,-1.1874247,0.5539914,-0.3026376
2025,4,-0.18276201,-1.2022443,-0.4056119,0.51315516,-0.2682134,0.7416345,0.38568047,-1.207283,1.1020932,0.11676965
2025,5,0.40884423,-1.3688648,0.34185988,0.8775091,0.38610852,1.2790449,0.41183546,-1.2061832,1.7271466,0.5563939
2025,6,0.95689386,-0.8978713,1.1010649,1.014616,1.0185211,1.2473714,0.27795997,-1.2091303,0.19479574,0.99058616
2025,7,1.2789316,-0.13982385,1.4738593,1.0544789,1.2162715,0.7427802,-0.42256966,-1.251204,-0.18661578,1.194035
2025,8,1.299721,0.1466316,1.3222224,0.9296118,1.0969564,0.08790927,-0.98576415,-1.2473471,-1.139475,0.99075335
2025,9,1.0083096,0.2252696,0.6459363,0.25564796,0.69047016,-0.32931846,-1.5130541,-1.2579055,-1.1330279,0.12538113
2025,10,0.3255741,0.34500343,-0.19309324,-0.6107471,0.1035982,-0.7592261,-1.4842992,-1.210891,-0.86854035,-0.7195626
2025,11,-0.5125924,0.31909832,-0.71538395,-1.2255557,-0.49448818,-1.0769707,-1.0086164,-1.1767458,-0.8330454,-1.2087845
2025,12,-1.0768497,0.44257772,-0.9107604,-1.3183987,-0.8643604,-1.1187725,-0.78332406,-1.1959797,-0.23634622,-1.3127775
2026,1,-1.352322,0.035164893,-0.9682824,-1.1088393,-0.99322623,-0.88541615,-0.11964195,-1.2092766,0.10431741,-1.1160018
2026,2,-1.2855601,-0.4295249,-0.9137358,-0.6680311,-0.9828321,-0.14127804,0.18441974,-1.2171652,0.359623,-0.6341371
2026,3,-0.80653566,-0.90474755,-0.7599709,-0.08451835,-0.6987452,0.43014216,0.46206602,-1.2201394,0.76773894,-0.20310153
2026,4,-0.20485242,-1.2280102,-0.3262285,0.56127053,-0.19948284,0.7671304,0.58182997,-1.2232858,1.384736,0.21095534
2026,5,0.3935811,-1.1458298,0.42067158,0.8849551,0.44953844,1.1524655,0.5811767,-1.2255324,1.7240177,0.61617815
2026,6,0.9465067,-0.56597066,1.1426655,1.0153463,1.0425117,1.2340965,0.37033197,-1.2283338,0.014478616,1.0233197
2026,7,1.2725159,-0.019602874,1.4594219,1.0196095,1.2099099,0.6930009,-0.11962248,-1.2313552,-0.68289584,1.2296488
2026,8,1.2995849,0.1722507,1.2587352,0.9035994,1.0624752,0.025353845,-0.79046875,-1.2307054,-1.171513,0.9179418
2026,9,1.021547,0.27026093,0.56652033,0.20468533,0.64077455,-0.42142794,-1.3808514,-1.2290752,-1.1736224,0.037654992
2026,10,0.34930402,0.3732278,-0.26737177,-0.68628514,0.0412615,-0.8522821,-1.5764695,-1.2249118,-0.96136,-0.81118816
2026,11,-0.47972953,0.44773027,-0.73885965,-1.2391156,-0.5475436,-1.1575568,-1.3652812,-1.2234486,-0.6958464,-1.2237344
2026,12,-1.0618275,0.31791192,-0.9150978,-1.3046683,-0.8824368,-1.1618509,-0.8655401,-1.2252432,-0.20066465,-1.2513775
2027,1,-1.3459171,-0.092562236,-0.96144307,-1.0696925,-0.9981265,-0.7830619,-0.18307383,-1.2264941,0.14342311,-1.0591195
2027,2,-1.2950777,-0.58655506,-0.89702773,-0.6153312,-0.97002035,-0.017086223,0.09867548,-1.2273347,0.445341,-0.53303456
2027,3,-0.8317263,-1.0328636,-0.7341218,-0.017524218,-0.653951,0.49117538,0.39443496,-1.2279149,0.9121048,-0.13280544
2027,4,-0.2232955,-1.2216182,-0.251044,0.59693825,-0.13847138,0.85690475,0.57632685,-1.2284954,1.6250087,0.27730227
2027,5,0.37151605,-0.9383233,0.50517476,0.8988581,0.51820123,1.2140906,0.6103237,-1.2289935,1.6960607,0.681716
2027,6,0.92988515,-0.33103502,1.2008544,1.0169182,1.0820272,1.2223264,0.47260156,-1.2294075,-0.29768032,1.0692785
2027,7,1.2660853,0.075904064,1.4540365,1.0140884,1.2065859,0.5826257,0.10502403,-1.2296075,-0.837764,1.228623
2027,8,1.3035125,0.20349336,1.2014725,0.8756468,1.030221,-0.06265907,-0.5583445,-1.2294586,-1.2113227,0.82059646
2027,9,1.0351948,0.3088443,0.4746975,0.12716065,0.5877101,-0.5021503,-1.2102232,-1.2291836,-1.1843348,-0.09560006
2027,10,0.3801967,0.4038558,-0.3417646,-0.7664418,-0.02415902,-0.9277811,-1.5582589,-1.2288828,-0.9527619,-0.8910342
2027,11,-0.4558859,0.43370348,-0.7632291,-1.2501291,-0.5967407,-1.1939278,-1.4926541,-1.2288644,-0.6443919,-1.2457262
2027,12,-1.0474389,0.18888505,-0.92453295,-1.2930989,-0.89884067,-1.1512765,-1.0221446,-1.2290388,-0.1720254,-1.2327294
