Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.5412557,0.9091191,-0.8312211,-0.9771184,-0.86257565,-0.7057824,0.11188712,-0.96865803,0.023260254,-0.8297401
2025,2,-1.3377895,0.897661,-0.79190636,-0.6365844,-0.86442363,-0.3111195,0.3370081,-0.9834364,0.31446624,-0.8312732
2025,3,-0.84918094,0.8863838,-0.73265797,-0.28961068,-0.82285047,0.28975335,0.3662143,-0.99320227,0.88989085,-0.78869915
2025,4,-0.1398079,0.87654907,-0.6084002,0.08961763,-0.61677885,1.0456767,0.27555418,-0.997119,1.4163829,-0.7400205
2025,5,0.5028412,0.86820793,0.0753487,0.4737973,0.052687325,1.4112358,0.1746675,-0.98488104,1.1852255,-0.60631937
2025,6,1.0344926,0.86087483,1.1439003,0.8091227,1.0652988,1.0116434,0.12993348,-0.96469945,-0.20865971,0.21065846
2025,7,1.2830639,0.854733,1.6723384,1.0662994,1.5932901,0.5304477,0.049857765,-0.96587616,-0.9484433,1.0455748
2025,8,1.2576957,0.84924,1.3557118,1.0921216,1.3934107,0.0093701165,-0.008048087,-0.9617818,-1.7486318,1.2120439
2025,9,0.96820694,0.84466094,0.44037658,0.66639066,0.63199174,-0.4499799,-0.047774427,-0.9572706,-1.0300586,0.6326038
2025,10,0.33604953,0.84106183,-0.36985633,-0.2399965,-0.20422792,-0.76574475,-0.03906329,-0.93781054,-0.104171015,-0.0634197
2025,11,-0.5631321,0.8377432,-0.67353785,-1.1952877,-0.6177093,-0.9477562,0.02848545,-0.9211735,-0.028640416,-0.4491172
2025,12,-1.2496192,0.83538735,-0.8037257,-1.3201892,-0.7982873,-0.90672386,0.046453588,-0.92066693,0.032480244,-0.60581875
2026,1,-1.4421445,0.83292586,-0.85054225,-1.0300041,-0.88582873,-0.66730946,0.093905665,-0.9152994,0.08708403,-0.70949656
2026,2,-1.269094,0.83146304,-0.8001287,-0.64653546,-0.860904,-0.22514516,0.11947589,-0.91194224,0.60851806,-0.7455766
2026,3,-0.7811833,0.830278,-0.76253486,-0.24628028,-0.8040087,0.3890352,0.124005206,-0.90786296,1.2136661,-0.7306445
2026,4,-0.07402043,0.82932365,-0.6036065,0.14712891,-0.44143334,1.0316324,0.11004532,-0.9032839,1.5461915,-0.6627116
2026,5,0.5522851,0.8285571,0.1527061,0.50750685,0.32516676,1.3544725,0.0883604,-0.8984537,0.91676754,-0.54141176
2026,6,1.0451946,0.8279422,1.1954883,0.8152763,1.2603014,1.0567799,0.070009574,-0.89398366,-0.29727882,0.1585261
2026,7,1.2582829,0.8274502,1.6775773,1.0622766,1.5933255,0.522051,0.056416422,-0.8901657,-1.1020147,0.95567894
2026,8,1.209825,0.8270573,1.2918978,1.1472065,1.2729098,-0.010417627,0.05011061,-0.8862147,-1.7913594,1.0371778
2026,9,0.91000885,0.8267439,0.38109946,0.7328143,0.41006675,-0.46292213,0.05097396,-0.8823399,-0.9797731,0.6104113
2026,10,0.24451415,0.82649434,-0.39189187,-0.23615938,-0.34156695,-0.7701781,0.057799347,-0.8785715,-0.096128486,-0.038831256
2026,11,-0.6360987,0.82629573,-0.67591995,-1.2196826,-0.6533445,-0.9464596,0.06701652,-0.87547135,-0.034066882,-0.40723446
2026,12,-1.2728974,0.8261381,-0.80612224,-1.3369256,-0.8282422,-0.93231964,0.07396746,-0.87292445,0.019141693,-0.5725614
2027,1,-1.4145002,0.8260127,-0.84869784,-1.0354855,-0.8907628,-0.66749406,0.079428755,-0.87032247,0.08791155,-0.6892272
2027,2,-1.2173446,0.82591337,-0.79436225,-0.6419122,-0.8369541,-0.21825649,0.081210874,-0.86785716,0.62367445,-0.7275373
2027,3,-0.7016744,0.82583433,-0.75727963,-0.23630592,-0.773129,0.40049592,0.07977099,-0.86545944,1.2848308,-0.71588856
2027,4,0.005162729,0.8257713,-0.5795319,0.1554721,-0.2848554,1.0415924,0.076318406,-0.8631634,1.6090194,-0.65381444
2027,5,0.60724926,0.82572114,0.2106934,0.51213884,0.54463947,1.356664,0.07247027,-0.86099267,0.73903567,-0.54575723
2027,6,1.0701696,0.82568127,1.2400467,0.8199234,1.3940506,1.0592512,0.06948561,-0.8589603,-0.32225767,0.050836205
2027,7,1.2520367,0.82564944,1.6771563,1.0670705,1.568141,0.5148957,0.06787536,-0.8570551,-1.1259515,0.77216166
2027,8,1.1792243,0.8256241,1.2390021,1.1548331,1.1314524,-0.019667508,0.067734785,-0.8552546,-1.7945166,0.90589786
2027,9,0.853283,0.8256041,0.32538447,0.73617864,0.20943192,-0.4699884,0.06873297,-0.8535668,-0.93546945,0.557368
2027,10,0.14762196,0.82558805,-0.42075947,-0.24262023,-0.4710001,-0.7766938,0.07031849,-0.85199094,-0.09121195,-0.038328305
2027,11,-0.72585607,0.8255754,-0.6825842,-1.2305366,-0.6982976,-0.9515931,0.07188084,-0.85052466,-0.03143352,-0.39878955
2027,12,-1.3008256,0.8255652,-0.8106598,-1.3395903,-0.8540876,-0.9358585,0.07297459,-0.8491435,0.021987084,-0.5616054
