Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.3518476,-0.014692554,-1.1051031,-1.0688424,-1.2403291,-0.40559706,0.80988675,-0.25821072,0.047352962,0.25561318
2025,2,-1.1750283,-0.011048239,-0.9463831,-0.8203051,-1.013305,0.50756675,0.5892637,-0.26207635,0.41652235,0.19404987
2025,3,-0.7708038,-0.015223492,-0.6992712,-0.049295977,-0.583393,0.9050897,0.35414383,-0.31739613,0.997834,0.14432444
2025,4,-0.21135023,-0.013358558,-0.16564476,0.6975688,0.08690893,1.0727623,0.09045555,-0.41188216,2.130567,0.11231351
2025,5,0.39741537,-0.013356725,0.6137914,0.8595087,0.7880861,0.88886696,-0.09467722,-0.5651839,0.8054966,0.09212892
2025,6,0.89702916,-0.013536589,1.2207582,0.89947665,1.1404357,0.4742994,-0.31563672,-0.7295479,-0.7476539,0.07514963
2025,7,1.1592282,-0.008024296,1.3909963,1.0636774,1.2120731,0.009210759,-0.6139157,-0.8766012,-1.0167102,0.06363523
2025,8,1.2231537,-0.0011395332,1.219991,0.9962456,1.0559274,-0.3665262,-0.9169826,-0.9769841,-1.1960658,0.050707348
2025,9,1.074654,0.004559509,0.56916845,0.069331795,0.64812547,-0.77709633,-1.1514877,-1.0018148,-0.99215895,0.038613122
2025,10,0.43637475,0.008913434,-0.31240186,-0.93424994,-0.070839964,-1.0892832,-1.1534494,-0.96442395,-0.62323827,0.01405723
2025,11,-0.390613,0.019005194,-0.8366794,-1.1395341,-0.71540546,-1.1979973,-0.13694082,-0.7821958,-0.12538901,-0.005703874
2025,12,-0.9758874,0.018444188,-1.1091505,-1.1188499,-1.1219114,-0.7434971,0.6322244,-0.6775175,-0.028430542,-0.012534846
2026,1,-1.2851797,0.023322375,-1.124467,-1.0176123,-1.241151,0.10825591,0.78234094,-0.57769454,0.0700742,-0.016056063
2026,2,-1.1980047,0.022949541,-0.94944274,-0.7587871,-1.0211191,0.6838211,0.6175189,-0.49817842,0.452748,-0.016404381
2026,3,-0.8285118,0.022658251,-0.68608165,0.029599316,-0.56838554,0.983101,0.35515946,-0.45743406,0.9824827,-0.016113207
2026,4,-0.27864552,0.02237393,-0.11595403,0.68312055,0.13510804,0.9975186,0.11172039,-0.46142453,2.2129457,-0.015834853
2026,5,0.33399612,0.022122985,0.707478,0.8379844,0.827042,0.79214233,-0.12628493,-0.5085697,0.83649987,-0.01556891
2026,6,0.83826345,0.02192408,1.2891033,0.870836,1.1666416,0.36895058,-0.4235555,-0.58599925,-0.7517379,-0.0153166
2026,7,1.121768,0.021772169,1.4396359,1.012318,1.2251028,-0.09470155,-0.7155208,-0.6765309,-1.0222021,-0.015088953
2026,8,1.21218,0.021652058,1.2386546,0.9065013,1.0541492,-0.49660224,-0.97858876,-0.7609077,-1.1900355,-0.014886543
2026,9,1.0892601,0.021564241,0.57447416,-0.030527737,0.63454837,-0.8956054,-1.1244924,-0.82181424,-1.0254499,-0.014719246
2026,10,0.50687736,0.021496378,-0.32204252,-0.9384793,-0.09722018,-1.1720508,-0.9274369,-0.8479546,-0.6264704,-0.014588438
2026,11,-0.30648872,0.021451982,-0.86880684,-1.1146904,-0.74569714,-1.1811874,-0.008430924,-0.8342142,-0.15687607,-0.014518047
2026,12,-0.9224169,0.021445323,-1.1341977,-1.0909854,-1.1428169,-0.6285491,0.719453,-0.79600805,-0.03166482,-0.0144942235
2027,1,-1.2644001,0.021438645,-1.1341994,-0.9812345,-1.2481759,0.3361403,0.7778491,-0.739042,0.046797924,-0.014487665
2027,2,-1.2127066,0.021448314,-0.9548633,-0.7109137,-1.0151564,0.7915731,0.57881886,-0.67644185,0.42231575,-0.014489997
2027,3,-0.8656681,0.02145585,-0.68619347,0.10318482,-0.5505155,1.0112152,0.3055134,-0.6217468,0.95257586,-0.014493834
2027,4,-0.32737538,0.021461662,-0.10821287,0.69078183,0.17124915,0.96990865,0.061267,-0.5851024,2.1542792,-0.0144974515
2027,5,0.28780916,0.021465907,0.7211318,0.83174044,0.85027844,0.7121427,-0.18799199,-0.57197297,0.93311554,-0.014500642
2027,6,0.7955856,0.021468844,1.3035536,0.86842084,1.1801437,0.2552438,-0.49211347,-0.582618,-0.73228306,-0.014503285
2027,7,1.1011097,0.021470778,1.4520204,1.0081007,1.2284073,-0.1913196,-0.77902377,-0.612836,-1.0070771,-0.0145053305
2027,8,1.2069367,0.021471968,1.245502,0.84438014,1.0511211,-0.59993404,-1.0235994,-0.65499115,-1.1884464,-0.014506808
2027,9,1.1010472,0.021472607,0.575466,-0.13687138,0.6144818,-0.9744197,-1.118504,-0.69969463,-1.0379182,-0.014507769
2027,10,0.5654902,0.02147287,-0.32360387,-0.9556323,-0.12406077,-1.2184994,-0.75888765,-0.73780966,-0.641058,-0.014508303
2027,11,-0.23724821,0.021472873,-0.8718455,-1.1087135,-0.76675373,-1.1326694,0.20790325,-0.76232177,-0.1687783,-0.014508517
2027,12,-0.8834127,0.021472728,-1.1377842,-1.0801914,-1.1568525,-0.39430973,0.76489866,-0.7699531,-0.03268651,-0.014508557
