Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-0.72566426,0.28527477,-0.09872373,-0.72665954,-1.054103,-1.4506879,-0.54490525,-1.0546165,1.7312009,0.004433196
2025,2,-1.0824428,0.38556236,0.0019437724,-0.13010298,-1.3227575,-1.1830784,-0.55560964,-1.0150527,0.2670684,-0.7009121
2025,3,-1.0739275,0.39198822,0.04816867,0.8215452,-1.0723419,-0.23385638,-0.55761075,-0.9732134,-0.22571665,-1.2633178
2025,4,-0.83985925,0.34944573,0.07884794,1.6587648,-0.6018608,1.1435604,-0.5653783,-0.9325034,-0.26890215,-1.3714991
2025,5,-0.3693401,0.2613753,0.09813544,1.5694844,-0.122614376,1.8445665,-0.56883013,-0.88950133,-0.3300966,-0.57351804
2025,6,0.14048111,0.21458894,0.120271586,0.8280333,0.37411484,1.2680745,-0.5758896,-0.84676826,-0.37301168,0.4443168
2025,7,0.64328843,-0.010648169,0.11415572,0.19486597,0.7968664,0.64043003,-0.55541855,-0.8117888,-0.41879496,0.8998759
2025,8,1.0133842,-0.21766564,0.101328604,-0.21863276,1.0361881,0.3038578,-0.54526824,-0.7785294,-0.78021085,0.8531027
2025,9,1.1481433,-0.33551437,0.0947695,-0.47743055,1.0269037,-0.036729854,-0.52962106,-0.7488751,-1.8318948,0.70531976
2025,10,1.0320764,-0.15518923,0.07765256,-0.69318825,0.78532636,-0.37180352,-0.5106086,-0.72549677,0.42459458,0.53536487
2025,11,0.6508082,-0.008846281,0.06604177,-0.8252451,0.2573301,-0.72189194,-0.50778204,-0.70337915,0.9729181,0.3933433
2025,12,-0.0070201475,0.09324217,0.03228254,-0.8768384,-0.4469926,-1.0767107,-0.50184727,-0.68415326,1.4020073,0.26367036
2026,1,-0.72811395,0.16263561,-0.0044102464,-0.81610817,-1.1615332,-1.3600005,-0.48101738,-0.66982216,1.7375267,-0.07362888
2026,2,-1.0976481,0.22018391,-0.017863568,-0.5194324,-1.2946849,-1.1510524,-0.47638375,-0.6559478,0.15765104,-0.7874603
2026,3,-1.1206557,0.19290143,-0.022795236,0.22285046,-1.0542293,-0.2533716,-0.47131556,-0.6443242,-0.24532336,-1.382438
2026,4,-0.91628766,0.09137041,-0.021360163,1.081327,-0.6025651,1.0394957,-0.46611223,-0.63464093,-0.29890823,-1.4311883
2026,5,-0.43724737,-0.0706144,-0.016720988,1.4305679,-0.10975164,1.7246346,-0.4607648,-0.6265648,-0.34491852,-0.3971125
2026,6,0.0865336,-0.27858028,-0.00933873,0.9478865,0.39601514,1.2669644,-0.454642,-0.619835,-0.3852342,0.66392076
2026,7,0.605162,-0.50844127,-0.00031260005,0.32755095,0.82575953,0.68954986,-0.4485223,-0.61415523,-0.42967737,0.9148873
2026,8,1.0090901,-0.6218485,0.00855783,-0.09217924,1.0583044,0.3302051,-0.4429387,-0.60890913,-0.8223931,0.83370936
2026,9,1.1612774,-0.6046862,0.016290128,-0.373533,1.0501256,-0.022101328,-0.4376661,-0.6043813,-2.1234756,0.6964743
2026,10,1.0689973,-0.4003806,0.021387111,-0.5853003,0.7867803,-0.3542058,-0.4327932,-0.6004451,0.47325003,0.5333544
2026,11,0.7180664,-0.15336293,0.024512721,-0.71407294,0.25191253,-0.69421864,-0.42835757,-0.59702975,0.971607,0.38847443
2026,12,0.041069552,0.059262898,0.026074568,-0.7737192,-0.47065306,-1.0474412,-0.42403546,-0.59403664,1.4359993,0.2562673
2027,1,-0.6869408,0.17788368,0.026009016,-0.74380314,-1.1894112,-1.3273035,-0.4198974,-0.5914001,1.7933104,-0.14412805
2027,2,-1.0970478,0.1484064,0.024560122,-0.54402226,-1.3013996,-1.1411401,-0.4162189,-0.5890889,0.16175881,-0.8771496
2027,3,-1.1473669,-0.04974143,0.022443566,0.08344616,-1.0529964,-0.27980256,-0.41266406,-0.58704287,-0.23419842,-1.453953
2027,4,-0.9673234,-0.37698582,0.020149214,0.84509546,-0.5949037,0.9819191,-0.40924913,-0.5852281,-0.29089957,-1.3880842
2027,5,-0.49702585,-0.7641362,0.018008111,1.3314613,-0.09764914,1.6989222,-0.40598044,-0.58361715,-0.33941925,-0.1750204
2027,6,0.038174257,-1.0418437,0.01623463,1.017539,0.4118577,1.2943238,-0.40286204,-0.5821865,-0.38081464,0.77687263
2027,7,0.56426364,-1.1548625,0.01495336,0.4141487,0.84057367,0.71510375,-0.39990756,-0.5809165,-0.42435247,0.91763735
2027,8,0.99776495,-1.0864214,0.014201627,-0.026646893,1.0699346,0.3500162,-0.39711335,-0.57978946,-0.7096803,0.8183209
2027,9,1.1738017,-0.7524614,0.013935839,-0.33732665,1.056127,-0.0015864819,-0.39446512,-0.57878566,-1.9852515,0.67825043
2027,10,1.1055517,-0.2413057,0.014063131,-0.5518909,0.78567684,-0.339094,-0.39195397,-0.5778911,0.4278648,0.5110514
2027,11,0.7779802,0.18193159,0.0144526195,-0.6848544,0.24283518,-0.67899096,-0.38956973,-0.5770933,0.92780316,0.37456644
2027,12,0.12070667,0.4037798,0.014984263,-0.74944067,-0.4871426,-1.0331149,-0.38730195,-0.5763816,1.3915821,0.23672101
