Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.1904058,1.6072516,-0.70479566,-0.50499344,-1.0933304,-0.8812151,0.7674128,0.24515633,0.6699394,-0.43297836
2025,2,-1.1950718,1.327901,-0.6675817,-0.32746673,-0.8353189,-0.6204028,0.4224013,0.32937458,0.8635553,0.17409666
2025,3,-0.9759393,0.89347124,-0.5562918,-0.12914693,-0.4884566,-0.13976745,0.04627735,0.2874814,0.897443,0.60732085
2025,4,-0.68320143,0.46593684,-0.35732374,0.046041526,0.0065587163,0.69030416,-0.043030832,0.1537985,0.92916095,0.7728573
2025,5,-0.30188233,0.1491488,0.1855857,0.18796061,0.5613194,1.5779487,-0.2665023,-0.04083568,0.7804368,0.83296746
2025,6,0.4787789,0.04244913,0.88721275,0.25405085,1.0231036,1.2609575,-0.6356527,-0.2483851,-1.0185733,0.74639493
2025,7,1.1117042,0.06241825,1.2992406,0.2554723,1.2905204,0.32966426,-0.9561268,-0.38376677,-1.3491508,0.5477724
2025,8,1.4296832,0.13773493,1.1316524,0.1848566,1.2103031,-0.16345452,-1.1532611,-0.46716782,-1.7224741,0.1778996
2025,9,1.317117,0.31983814,0.4662654,0.09036807,0.76689035,-0.43137354,-0.95481235,-0.540139,-0.35958254,-0.357743
2025,10,0.7357592,0.7373562,-0.33607763,-0.02425995,-0.22240417,-0.7590943,-0.3411412,-0.55850834,0.032381333,-0.7541158
2025,11,-0.2563732,1.1583174,-0.640759,-0.1166201,-0.98984504,-0.89899313,0.40376055,-0.5075011,-0.06421257,-0.85141855
2025,12,-0.93539655,1.4865888,-0.7400596,-0.16349642,-1.1507373,-0.8856765,0.83037263,-0.25843924,0.50326735,-0.79759806
2026,1,-1.1755145,1.510742,-0.7695409,-0.16712002,-1.0757211,-0.6871127,0.53375936,0.031258542,0.6831795,-0.44113722
2026,2,-1.1510267,1.2348984,-0.72420865,-0.1377976,-0.84606534,-0.28179678,0.2614734,0.21523987,0.8616238,0.10112419
2026,3,-0.92929703,0.77771485,-0.5799393,-0.0883265,-0.48316786,0.29708493,0.11889272,0.27112702,0.8988021,0.5596792
2026,4,-0.6461241,0.37344742,-0.3471742,-0.03370437,0.029916527,1.1025934,-0.10549438,0.17570043,0.93160397,0.740729
2026,5,-0.28080148,0.13127306,0.22926411,0.012864303,0.5765271,1.6830107,-0.45824757,-0.024251182,0.53600645,0.7837379
2026,6,0.47835958,0.05780831,0.9415179,0.041790433,1.026407,1.300105,-0.78271735,-0.22809209,-1.1051655,0.71400034
2026,7,1.0909284,0.085620746,1.3776395,0.04936009,1.2924199,0.22163895,-1.0298303,-0.39164612,-1.495331,0.47967246
2026,8,1.4163598,0.2066687,1.2272882,0.03732725,1.210126,-0.25913873,-1.0691954,-0.47831598,-1.7668008,0.005626183
2026,9,1.3171164,0.485738,0.4551615,0.012219471,0.7393283,-0.5426062,-0.70027155,-0.52851254,-0.30783477,-0.4967953
2026,10,0.7350129,0.86920303,-0.3580086,-0.017768433,-0.23536746,-0.8366177,-0.03864772,-0.5385532,0.09435291,-0.75018156
2026,11,-0.23255055,1.2355086,-0.65474033,-0.0444621,-0.9862667,-0.9619353,0.64413327,-0.45577395,0.24187353,-0.78477275
2026,12,-0.944163,1.4589468,-0.7583196,-0.06220202,-1.1517572,-0.90568066,0.68738174,-0.2583174,0.5465452,-0.6876262
2027,1,-1.1714636,1.4141264,-0.78795373,-0.06868331,-1.0723362,-0.67672503,0.40715027,-0.019220453,0.73130214,-0.34457698
2027,2,-1.1437267,1.0894498,-0.7399519,-0.06465422,-0.83923435,-0.25803003,0.21128839,0.16750325,0.8765289,0.19362043
2027,3,-0.9220586,0.6379215,-0.5903552,-0.053093083,-0.47445512,0.32461575,0.08272068,0.2355135,0.9155591,0.5932038
2027,4,-0.64067185,0.29013076,-0.35522845,-0.03811927,0.040943347,1.164193,-0.249889,0.1539546,0.91263217,0.7403283
2027,5,-0.27812666,0.10128869,0.22868702,-0.023855822,0.5857376,1.726393,-0.59705037,-0.033543415,0.16534677,0.7577355
2027,6,0.479326,0.066350095,0.9595576,-0.01350799,1.0326155,1.2284448,-0.89433974,-0.22747439,-1.1712265,0.66802806
2027,7,1.0888876,0.124357104,1.4101781,-0.008783864,1.2937617,0.14051938,-1.0867028,-0.38630614,-1.6064065,0.36724588
2027,8,1.4134928,0.30186734,1.2658298,-0.009757796,1.2050616,-0.29937178,-0.9565485,-0.47117335,-1.7243819,-0.12150209
2027,9,1.3156543,0.6200226,0.47057417,-0.01513906,0.72386044,-0.59360313,-0.4461372,-0.5193945,-0.094605595,-0.5770021
2027,10,0.7341322,0.9947308,-0.35516903,-0.02283469,-0.2520836,-0.8662977,0.23483084,-0.5276409,0.17040648,-0.7553814
2027,11,-0.23274884,1.3126589,-0.65885764,-0.03059786,-0.9914434,-0.97740984,0.75270087,-0.44980922,0.3466949,-0.7588617
2027,12,-0.94461304,1.4487299,-0.76345646,-0.036598325,-1.1512996,-0.9039483,0.57947034,-0.26775092,0.58765304,-0.63324517
