Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.348561,1.1975517,-0.70528173,-1.0045134,-0.6812069,-0.5352036,0.886557,-0.9409722,0.15086424,-0.23724532
2025,2,-1.1852771,0.4417145,-0.75474185,-0.5166229,-0.64285904,-0.1355716,0.71446157,-0.957484,0.10503231,0.082862526
2025,3,-0.8999073,-0.38733718,-0.7711289,0.18526259,-0.6140261,0.32599312,0.367325,-0.9691038,0.5164129,0.2951347
2025,4,-0.474888,-1.0626434,-0.61272544,0.6812054,-0.48507807,1.0308443,0.015798436,-0.978716,1.0268525,0.34847194
2025,5,0.18738568,-1.3730297,-0.19428566,0.90851367,-0.010440487,1.587551,-0.24773835,-0.95640683,1.4994146,0.4928785
2025,6,0.86580026,-1.0309153,0.6644433,0.99173677,0.6942531,0.9402607,-0.53882146,-0.93157554,-0.63933694,0.45851752
2025,7,1.4012976,-0.48658752,1.6366109,0.9599333,1.2136648,0.17426743,-0.73021036,-0.8982906,-1.1218624,0.3780459
2025,8,1.5126008,-0.29690972,1.6706821,0.7047087,0.96901685,-0.2814075,-0.81216127,-0.8707613,-1.3935302,0.22663847
2025,9,1.0982997,-0.08819186,0.47235763,0.14526209,0.17975137,-0.6009563,-0.734026,-0.83329415,0.41471013,-0.30045724
2025,10,0.24010438,0.48197615,-0.30715752,-0.740862,-0.4022112,-0.8707236,-0.2973068,-0.7876216,0.33596188,-0.8505759
2025,11,-0.6456255,0.971836,-0.59623677,-1.2312927,-0.72289824,-0.93094826,0.3557151,-0.7378987,-0.70004046,-1.1860722
2025,12,-1.1397057,1.4067241,-0.6356805,-1.3074181,-0.7388537,-0.8281551,0.7436604,-0.7012588,0.07942123,-0.99231493
2026,1,-1.2699802,1.2994709,-0.6711636,-1.061615,-0.7084386,-0.4953014,0.71326846,-0.6834059,0.1801998,-0.41195136
2026,2,-1.1264814,0.47118035,-0.71190697,-0.57800317,-0.6602808,-0.060695473,0.563432,-0.6685711,0.4567329,-0.020898214
2026,3,-0.8576513,-0.4273402,-0.7193438,0.08939736,-0.6070219,0.4335351,0.32894716,-0.65398,0.71381235,0.2670317
2026,4,-0.42207763,-1.1816169,-0.55403507,0.6245096,-0.45650664,1.0899067,0.017109679,-0.6381271,1.206037,0.4939353
2026,5,0.22710323,-1.2899643,-0.20442238,0.8658426,0.006076932,1.5803801,-0.34136805,-0.619316,1.2010741,0.6847189
2026,6,0.8700413,-0.9097625,0.6019591,0.97490263,0.7075065,1.1308227,-0.61357105,-0.59910667,-1.3936118,0.7452938
2026,7,1.3661565,-0.4834426,1.6240519,0.9381466,1.2550232,0.23711203,-0.741509,-0.5772115,-1.8307157,0.61081034
2026,8,1.4625643,-0.2760807,1.6704887,0.7356875,0.94676036,-0.291285,-0.71421975,-0.55434793,-0.9642986,0.27369994
2026,9,1.025781,0.053148918,0.5084711,0.19038779,0.20884249,-0.62404126,-0.4851116,-0.53022456,0.18415943,-0.20294476
2026,10,0.1721015,0.5466628,-0.2856989,-0.66821253,-0.33392835,-0.87616104,0.0072684237,-0.50626564,0.2585528,-0.7715012
2026,11,-0.67023635,1.0327624,-0.5764669,-1.1839563,-0.6699058,-0.9660728,0.51121193,-0.48395064,0.35832685,-0.96679467
2026,12,-1.1401088,1.411146,-0.6224934,-1.2903138,-0.71212393,-0.86406386,0.7035606,-0.46475732,0.1984883,-0.7084929
2027,1,-1.2424098,1.2708391,-0.658782,-1.0872971,-0.70021385,-0.5385658,0.6505547,-0.44816574,0.4311869,-0.2896391
2027,2,-1.090812,0.3884804,-0.6989645,-0.629696,-0.6520182,-0.10647582,0.49712908,-0.4324471,0.7317386,0.087147176
2027,3,-0.82336485,-0.5289656,-0.70864296,0.016636454,-0.596586,0.3630381,0.2362898,-0.41680732,1.1602544,0.33418167
2027,4,-0.36530924,-1.2457906,-0.5506876,0.5928408,-0.4458645,1.0309424,-0.11322788,-0.4003844,1.3178961,0.5287297
2027,5,0.2833831,-1.2384609,-0.22222137,0.84473,-0.003481403,1.575662,-0.46420687,-0.38321385,-0.37478882,0.6403354
2027,6,0.91068965,-0.8408752,0.55629086,0.965242,0.6817453,1.2620412,-0.67437845,-0.3636696,-2.2315817,0.71329045
2027,7,1.3708221,-0.45231766,1.5722018,0.94130445,1.2316949,0.2991726,-0.7327466,-0.3431164,-2.458832,0.57068527
2027,8,1.432645,-0.24693623,1.6600732,0.7670715,0.95570093,-0.26836327,-0.62829787,-0.3219668,0.10432163,0.21277651
2027,9,0.95049244,0.12189285,0.54044193,0.25282615,0.23544359,-0.6071714,-0.27969453,-0.30073342,0.036149833,-0.2461614
2027,10,0.09142406,0.6036718,-0.26923215,-0.5915108,-0.31026328,-0.8697307,0.22321527,-0.27843362,0.11893606,-0.708602
2027,11,-0.7212241,1.0840992,-0.5707693,-1.1528574,-0.6583713,-0.9755537,0.6215683,-0.2555796,0.31376266,-0.7258941
2027,12,-1.1555166,1.438211,-0.6181629,-1.2900671,-0.70750993,-0.8937613,0.69003034,-0.23148757,0.74250484,-0.45490375
