Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.3445305,-0.06273145,-1.1186297,-1.1977133,-1.2781605,-0.9251594,0.17113714,-0.8517408,0.5695603,-0.35204023
2025,2,-1.339963,-0.04135236,-1.0198731,-0.9142757,-1.1179789,-0.13847624,0.14991052,-0.90819395,0.92479527,-0.08124618
2025,3,-0.9976001,-0.031120094,-0.80477273,-0.30880362,-0.68226653,0.5996683,0.2030642,-0.8972387,1.3584323,0.16471374
2025,4,-0.36991936,-0.024701972,-0.18686502,0.49833554,-0.0069099814,1.0151076,0.066348314,-1.0331523,1.6060205,0.38891512
2025,5,0.3498844,-0.030615749,0.664834,0.87972504,0.76179206,0.98569584,-0.07727698,-1.1798086,0.3519276,0.68193513
2025,6,1.0295191,-0.03591825,1.332077,1.1200187,1.1372676,0.70237905,-0.21074222,-1.3794929,-0.90542233,1.0696156
2025,7,1.3478175,-0.031165017,1.5653358,1.2898706,1.259618,0.30976033,-0.3487845,-1.5289999,-1.192744,1.1660835
2025,8,1.3387372,-0.023576548,1.3161923,1.1256106,1.1669867,-0.14834616,-0.579829,-1.6263715,-1.2948165,0.625859
2025,9,1.095244,-0.017623805,0.48610553,0.23093253,0.7723156,-0.5772149,-0.81563425,-1.671516,-1.0678823,-0.28782398
2025,10,0.54108006,-0.01204882,-0.3744709,-0.8564802,0.06638985,-0.92945296,-1.0780823,-1.6435871,-0.7356917,-1.4700748
2025,11,-0.24482563,-0.0030649821,-0.867521,-1.1946163,-0.6110921,-1.122994,-1.2090379,-1.4645082,-0.16354421,-1.9672124
2025,12,-0.9785609,-0.004644361,-1.0575087,-1.2208554,-1.0714871,-0.9926726,-0.6395787,-1.252793,0.3268492,-1.0573238
2026,1,-1.3471018,0.0029290721,-1.1204991,-1.1238688,-1.2616588,-0.6116459,-0.15176763,-1.1608843,0.59813654,-0.37396288
2026,2,-1.3866987,0.002521211,-0.99629295,-0.81003416,-1.0902597,0.31642005,0.30353388,-1.0371466,0.975927,-0.0095846355
2026,3,-1.0851666,0.0021147658,-0.7782238,-0.15197894,-0.6437824,0.8388918,0.3836845,-0.9431065,1.3971276,0.19980006
2026,4,-0.458624,0.0017183223,-0.10352467,0.55029404,0.0410303,1.077458,0.21313566,-0.92898923,1.6331393,0.42554352
2026,5,0.26394963,0.0013487092,0.74396586,0.8895148,0.7828111,1.006371,0.017514288,-0.98017687,0.2596939,0.7213466
2026,6,0.9797205,0.0010022903,1.3736687,1.0985559,1.1236129,0.6896368,-0.19340247,-1.0945308,-0.9404928,1.0047371
2026,7,1.3534966,0.00069479784,1.5497068,1.2112104,1.2312214,0.24631408,-0.44591698,-1.2440871,-1.2198555,0.93999636
2026,8,1.3771552,0.00046335533,1.2586939,0.96754956,1.1319418,-0.24604464,-0.6722326,-1.4049556,-1.293781,0.33193567
2026,9,1.1631178,0.00030821143,0.42123786,0.076624766,0.73601234,-0.6789706,-0.87875944,-1.5458393,-1.0695703,-0.52253085
2026,10,0.6450659,0.00021107076,-0.43173578,-0.88926625,0.028837211,-1.0493429,-1.0608664,-1.6242869,-0.71960396,-1.4743376
2026,11,-0.13741383,0.00015927944,-0.8887399,-1.17678,-0.6386272,-1.2165006,-1.2049557,-1.6253589,-0.14314087,-1.5907345
2026,12,-0.91155213,0.00015377207,-1.0711514,-1.1968505,-1.0777193,-1.0841843,-0.9855845,-1.5820655,0.3376455,-0.86840713
2027,1,-1.3341413,0.00014887331,-1.1172962,-1.0636634,-1.2490258,-0.43128225,-0.32349098,-1.4871408,0.60633564,-0.2677296
2027,2,-1.4154583,0.00017304765,-0.9775786,-0.72424436,-1.0602056,0.45117056,0.3524731,-1.3472636,0.99021333,0.042386904
2027,3,-1.1636413,0.00019265292,-0.7496877,-0.02379198,-0.60197353,0.9442369,0.47869053,-1.1997412,1.4180452,0.24931
2027,4,-0.5609971,0.00020763837,-0.03838775,0.61059093,0.08888441,1.1227349,0.2659379,-1.0777382,1.6405362,0.4696447
2027,5,0.15246725,0.0002183984,0.8017634,0.91490835,0.8113528,1.0006669,0.05430878,-0.9998105,0.19205998,0.7913425
2027,6,0.89558816,0.00022557704,1.4050049,1.1129391,1.1272771,0.64430207,-0.15548936,-0.9799636,-0.9579454,1.0051848
2027,7,1.3394482,0.00022985786,1.5455449,1.1833822,1.2221401,0.1674887,-0.39121693,-1.020139,-1.2280331,0.7632989
2027,8,1.4000334,0.00023193704,1.2110662,0.87017894,1.1052405,-0.31608915,-0.6194572,-1.1131307,-1.2935472,0.11167072
2027,9,1.2196238,0.00023256335,0.35391757,-0.104803845,0.69045126,-0.7458297,-0.8289546,-1.2411237,-1.0634657,-0.7524386
2027,10,0.753698,0.00023234403,-0.48745003,-0.9470346,-0.019803204,-1.1078038,-1.0102029,-1.3789592,-0.710326,-1.5969077
2027,11,-0.010960863,0.0002317098,-0.9017653,-1.1744787,-0.6734385,-1.2512867,-1.1972998,-1.5015718,-0.12809409,-1.3948865
2027,12,-0.82292384,0.0002309545,-1.0809358,-1.1819309,-1.0920937,-1.0659332,-1.1497505,-1.5877163,0.3452174,-0.6812652
