Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.5064527,1.7970419,-0.7166784,-0.8429356,-0.85879105,-0.90954614,0.49646628,-1.0370436,0.4137963,-0.7431342
2025,2,-1.433981,1.2576029,-0.76789635,-0.55381674,-0.89529055,-0.47776636,0.36059183,-1.1083424,0.6278608,-0.64016265
2025,3,-1.1825175,0.50722903,-0.79133654,-0.17033847,-0.8793325,0.003551064,-0.05893686,-1.1828921,0.85025376,-0.5661633
2025,4,-0.5637138,-0.33486238,-0.7377005,0.15438381,-0.7879258,0.8121619,-0.42549148,-1.2155896,1.1103884,-0.5365996
2025,5,0.28444663,-1.1044769,-0.17927445,0.47789788,-0.3934718,1.5400795,-0.5070611,-1.205881,1.2888415,-0.26743436
2025,6,1.0311731,-1.2051277,1.0599262,0.7494919,0.8951903,1.1011981,-0.4921167,-1.1781765,-0.62644047,0.3047541
2025,7,1.5075927,-0.96992475,2.1082568,0.9685919,2.0531483,0.37151098,-0.6103744,-1.1923698,-1.4254555,1.1520774
2025,8,1.647969,-0.70520717,1.7665559,1.0059406,1.8111916,-0.12879997,-0.63307714,-1.1894441,-1.9868482,1.7397945
2025,9,1.416139,-0.5758946,0.24893846,0.7456809,0.4797599,-0.46771705,-0.68824583,-1.2286713,-0.6323434,0.9997514
2025,10,0.6827717,-0.2570944,-0.47255328,0.072063655,-0.24341077,-0.7549277,-0.54682964,-1.216182,-0.136919,0.24111801
2025,11,-0.42857918,0.50471604,-0.55725425,-0.813088,-0.4538745,-0.9448148,-0.090559095,-1.2088743,-0.009220578,-0.58512115
2025,12,-1.3048004,1.267015,-0.6380665,-1.2112443,-0.6021527,-0.9400814,0.37406752,-1.2215677,0.29820198,-0.7360746
2026,1,-1.5260192,1.6061072,-0.73386925,-1.0834513,-0.7094378,-0.68787706,0.6911533,-1.2221807,0.47361845,-0.7240502
2026,2,-1.503771,1.2616179,-0.7922587,-0.7903011,-0.7634651,-0.2551455,0.59295297,-1.234053,0.6831861,-0.68433315
2026,3,-1.2773619,0.4872688,-0.8182665,-0.41386822,-0.7417838,0.23661645,0.31462073,-1.2419972,0.89778453,-0.59366375
2026,4,-0.7335217,-0.36811355,-0.7265464,-0.01825176,-0.5890733,0.9521705,-0.012627125,-1.2451847,1.1731359,-0.46488157
2026,5,0.106789894,-1.0710502,-0.13465993,0.30628234,-0.17653601,1.5629013,-0.34026548,-1.2461661,1.1756902,-0.1973683
2026,6,0.9165162,-1.1369493,1.0736455,0.5893863,1.0060747,1.2314633,-0.5097908,-1.2478168,-0.72366506,0.25114316
2026,7,1.4751039,-0.92836356,2.1521096,0.8198678,1.998496,0.3517387,-0.56279844,-1.2515242,-1.619737,1.0877037
2026,8,1.6938787,-0.6697282,1.6920474,0.94615155,1.7325419,-0.20516421,-0.548191,-1.2546463,-1.9443072,1.7435337
2026,9,1.551107,-0.5350847,0.21192984,0.83057773,0.41606075,-0.52307343,-0.46096215,-1.2581825,-0.5152672,1.1819059
2026,10,0.95578694,-0.16943319,-0.4720602,0.34857297,-0.24412107,-0.8199534,-0.10127188,-1.2594092,-0.11952546,0.23883885
2026,11,-0.14612031,0.5829269,-0.5493277,-0.4035937,-0.4572256,-1.0085182,0.50178754,-1.2615163,0.0598905,-0.5870923
2026,12,-1.1662838,1.2753389,-0.6376657,-1.0439794,-0.6070808,-0.99172246,0.84957975,-1.2643216,0.3123138,-0.7041415
2027,1,-1.5128958,1.5537307,-0.7352614,-1.1460745,-0.68589544,-0.7115725,0.96099544,-1.2665604,0.48949927,-0.720461
2027,2,-1.5451,1.175036,-0.79255676,-0.9328286,-0.7219185,-0.28343198,0.89305174,-1.2689238,0.7041759,-0.68293655
2027,3,-1.3713926,0.3891153,-0.81728894,-0.6042849,-0.67982763,0.21818814,0.55491555,-1.2707044,0.92310554,-0.58965564
2027,4,-0.9548948,-0.4504027,-0.7185261,-0.20539226,-0.51158184,0.95904005,0.056523476,-1.2720927,1.2037834,-0.46208256
2027,5,-0.15171504,-1.0889642,-0.10207964,0.133682,-0.03204349,1.6031743,-0.43628743,-1.2733756,1.0595723,-0.19958001
2027,6,0.71837807,-1.1073225,1.1085508,0.43238044,1.1426448,1.2675587,-0.5760047,-1.2746999,-0.84492075,0.2185209
2027,7,1.3542274,-0.8814257,2.1588438,0.6899657,2.0195005,0.3360627,-0.5904602,-1.2760327,-1.710756,1.0487688
2027,8,1.678161,-0.63718396,1.6359919,0.8729686,1.6021054,-0.22414951,-0.506404,-1.2772425,-1.9106196,1.7694577
2027,9,1.6584442,-0.50868464,0.17420651,0.8979845,0.28393432,-0.5317606,-0.3056284,-1.278353,-0.40800726,1.2910464
2027,10,1.213089,-0.079716235,-0.48072386,0.6101364,-0.2802088,-0.8293142,0.3257694,-1.2793318,-0.104087204,0.28453982
2027,11,0.19051614,0.6882043,-0.5498858,-0.009939304,-0.48036736,-1.0197035,0.7542897,-1.2803134,0.09247536,-0.572405
2027,12,-0.9072846,1.3205128,-0.6404058,-0.7861884,-0.6242354,-1.001823,0.9631574,-1.281246,0.32821685,-0.6998252
