Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.2697374,0.09301235,-0.772418,-0.5798682,-0.4233665,-0.53955746,0.9793816,-0.1781593,1.2209243,0.2879398
2025,2,-1.097616,-0.050598443,-0.79981935,-0.51785046,-0.2038596,-0.014266194,0.87522614,-0.044111025,0.68962926,0.54855347
2025,3,-0.8036352,-0.064941294,-0.6721253,-0.374891,0.19753234,0.52384317,0.58229697,-0.012019763,0.38998026,0.6995944
2025,4,-0.40043217,0.16940784,-0.28364292,-0.15088841,0.63854223,1.125291,0.062288247,-0.06894193,0.2833425,0.6138681
2025,5,0.11755918,0.38993713,0.27544168,0.0278958,0.90473956,1.4499382,-0.4168309,-0.17432976,0.09222095,0.29473522
2025,6,0.84733814,0.64792657,0.8424486,0.18700668,0.9421641,0.9467226,-0.7581262,-0.30004606,-0.29081938,-0.10984646
2025,7,1.4000535,0.88922924,1.1401807,0.32776943,0.63576573,0.17758553,-0.8420809,-0.4009292,-0.950229,-0.5118844
2025,8,1.4906055,0.861562,1.0407288,0.274324,0.0859451,-0.3039654,-0.74850154,-0.46661118,-1.7455522,-0.7559686
2025,9,1.0033219,0.66912764,0.49322313,0.10455213,-0.43395174,-0.6140152,-0.4496467,-0.49052268,-0.8632927,-0.83929276
2025,10,0.2103958,0.5718166,-0.19247495,-0.15935372,-0.6810773,-0.9156374,0.0288217,-0.4694718,1.4590765,-0.6744088
2025,11,-0.5887548,0.31540322,-0.60154474,-0.39368084,-0.6615173,-1.022913,0.49768317,-0.41819453,-0.793449,-0.32051247
2025,12,-1.1271085,0.3237122,-0.75259024,-0.5455186,-0.5273962,-0.855505,0.7342963,-0.35094306,0.8227127,-0.024022859
2026,1,-1.2144235,0.16772935,-0.8248375,-0.5950399,-0.35860392,-0.4655679,0.78882235,-0.25548878,1.0632652,0.2686815
2026,2,-1.0489774,0.19716099,-0.8232095,-0.5539278,-0.030416368,0.06264439,0.69948,-0.18550809,0.72798955,0.50249714
2026,3,-0.7623527,0.29991966,-0.6735939,-0.4380854,0.41321152,0.5160358,0.4190387,-0.16007163,0.34176418,0.6098964
2026,4,-0.37672868,0.44218713,-0.2670376,-0.27659208,0.7934078,1.0922606,-0.023789346,-0.18366472,0.25846827,0.52313316
2026,5,0.1581848,0.5795953,0.33762074,-0.04455123,0.9739526,1.411736,-0.46388203,-0.23117743,-0.01358193,0.24298818
2026,6,0.86528784,0.6830648,0.9014048,0.18181182,0.8749061,1.062802,-0.7077898,-0.28135806,-0.47095868,-0.12617046
2026,7,1.3795024,0.7082519,1.1934164,0.34880608,0.43373072,0.25623456,-0.7285657,-0.32734844,-0.9828492,-0.47120965
2026,8,1.46567,0.6281822,1.0793941,0.36478484,-0.17629272,-0.29459,-0.57035226,-0.35991475,-1.8367368,-0.6833452
2026,9,0.9558213,0.50117403,0.4699981,0.21788119,-0.56586033,-0.6062409,-0.2195681,-0.3741019,-0.9517469,-0.715317
2026,10,0.17017867,0.39111105,-0.22841588,-0.046527933,-0.6662096,-0.9030777,0.17085779,-0.3695096,1.5237795,-0.55348986
2026,11,-0.601641,0.30776244,-0.6359312,-0.31705487,-0.60360944,-1.0464633,0.5181514,-0.34999147,-0.49923703,-0.278848
2026,12,-1.1299484,0.29391572,-0.7818246,-0.52412283,-0.47546002,-0.8963583,0.68331844,-0.3219273,0.99836993,0.0007612519
2027,1,-1.1952553,0.31083947,-0.83775276,-0.60255146,-0.2363838,-0.50139767,0.7085331,-0.29277602,1.0165675,0.27135205
2027,2,-1.0229722,0.38170666,-0.8305884,-0.5968429,0.15977703,0.019241298,0.5858107,-0.27019888,0.65973634,0.47416675
2027,3,-0.73846084,0.4697289,-0.67071867,-0.4914248,0.5986038,0.4818124,0.26653934,-0.26160187,0.33401138,0.5597747
2027,4,-0.35140097,0.55208784,-0.24616131,-0.34586507,0.9071484,1.0513395,-0.15417781,-0.26490897,0.26270047,0.45662102
2027,5,0.19380455,0.60322857,0.37045693,-0.116650365,0.9766615,1.4154612,-0.53664577,-0.2772319,-0.03404561,0.19493909
2027,6,0.8982502,0.60611355,0.9339342,0.142101,0.72229075,1.137026,-0.68855745,-0.29387406,-0.5209067,-0.1380961
2027,7,1.3850116,0.5597867,1.2130858,0.35646823,0.18610752,0.32056165,-0.66304064,-0.3103337,-1.1128416,-0.4390673
2027,8,1.4496329,0.48223922,1.079933,0.4392152,-0.39178258,-0.27057016,-0.44108248,-0.3227794,-1.9800861,-0.6154614
2027,9,0.9112601,0.40749666,0.43706998,0.32882875,-0.6512729,-0.58367383,-0.089804135,-0.3289444,-0.79573697,-0.6294895
2027,10,0.12595366,0.36083454,-0.259996,0.064049765,-0.6518552,-0.88487387,0.26152042,-0.32837653,1.6352254,-0.4858545
2027,11,-0.6365951,0.35035586,-0.6519526,-0.24736603,-0.55753803,-1.046508,0.5429938,-0.32227328,-0.22846642,-0.23715582
2027,12,-1.1361886,0.37567502,-0.78977,-0.49363017,-0.39267933,-0.92732733,0.66213846,-0.31297177,0.93190783,0.022389652
