Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.2925392,1.7264092,-0.7244623,-0.9932215,-1.0112845,-1.0199195,0.15376471,-0.8779277,0.71475315,-0.09951073
2025,2,-1.2832502,1.3478972,-0.7436935,-0.72230124,-0.83018947,-0.8278294,0.10187671,-0.8983744,1.0177777,-0.07671105
2025,3,-1.073571,0.7963713,-0.71972966,-0.2404696,-0.5269253,-0.4069546,-0.13100882,-0.97793424,1.0356767,-0.036944464
2025,4,-0.7796158,0.24048692,-0.6141273,0.2446171,-0.12815306,0.5384533,-0.33209476,-1.1123902,1.1553749,0.02038773
2025,5,-0.3361165,-0.24833703,-0.027226629,0.5725949,0.305867,1.6274476,-0.47871283,-1.2372135,0.3718147,0.046830166
2025,6,0.44011715,-0.43001485,0.94362,0.7109929,0.8391232,1.4156455,-0.7376685,-1.3547482,-0.817346,0.07729637
2025,7,1.1536402,-0.51811534,1.5977713,0.7351903,1.1830161,0.5502961,-1.0020764,-1.405039,-1.2523807,0.09658559
2025,8,1.4768305,-0.53074133,1.4465792,0.5997398,1.293195,-0.025047593,-1.1579597,-1.3846855,-1.5605234,0.09669511
2025,9,1.2822268,-0.4359564,0.54067343,0.32099944,0.93286633,-0.37138,-1.1583356,-1.3171054,-0.95550746,0.10907067
2025,10,0.6083752,0.23443165,-0.37785518,-0.16622707,-0.05064988,-0.6664209,-0.916203,-1.2089787,0.023841012,0.09814477
2025,11,-0.37840173,1.0355248,-0.62452805,-0.6419153,-0.90676093,-0.8571265,-0.13924876,-1.0836078,-0.08495467,0.077643536
2025,12,-1.0496795,1.604266,-0.7173245,-0.8926475,-1.0995225,-0.86868167,0.15479752,-0.9859267,0.5027157,0.04059799
2026,1,-1.2487025,1.6395724,-0.7677231,-0.9366091,-1.0307472,-0.72546524,0.10172469,-0.9712194,0.7602551,0.013955081
2026,2,-1.1813499,1.2619637,-0.785978,-0.78339505,-0.8303005,-0.42146733,-0.020804882,-1.0028286,1.0310004,0.005728387
2026,3,-0.9585832,0.66915137,-0.7287223,-0.4622929,-0.4910164,0.14748847,-0.13334456,-1.0768487,1.0459049,0.00035730237
2026,4,-0.6758083,0.08876877,-0.57577527,-0.006443821,-0.07438437,0.9884331,-0.30547464,-1.172032,1.1657871,-0.0023609488
2026,5,-0.20202659,-0.2904181,0.04042104,0.37440628,0.38535577,1.7266252,-0.5307425,-1.2620906,0.14461792,-0.0025615203
2026,6,0.54290456,-0.4430406,0.9659239,0.58428645,0.9122801,1.4315451,-0.76640224,-1.3231155,-0.90902,-0.001702637
2026,7,1.1981281,-0.52054846,1.6207011,0.6597763,1.228723,0.42352477,-0.9680437,-1.3367075,-1.3301531,0.00018122233
2026,8,1.4847212,-0.51086825,1.486714,0.61439675,1.3031808,-0.14046244,-1.062331,-1.3014901,-1.6029261,0.002710124
2026,9,1.2225802,-0.23908249,0.54009116,0.44655988,0.81364626,-0.4801964,-0.9356519,-1.2309904,-0.83866537,0.005349083
2026,10,0.47861472,0.42181543,-0.37995553,0.06678462,-0.2035124,-0.7632304,-0.4538734,-1.1472852,0.040911216,0.00885332
2026,11,-0.49396574,1.208396,-0.6196286,-0.3900299,-0.99017215,-0.9371133,0.083444834,-1.0765877,0.11667309,0.012006097
2026,12,-1.1017909,1.6112915,-0.71958876,-0.75114334,-1.1142839,-0.91094655,0.12539816,-1.038689,0.5225999,0.014339132
2027,1,-1.2290494,1.5535033,-0.772369,-0.88981456,-1.0200279,-0.7560496,0.06565787,-1.0416352,0.80739456,0.015460726
2027,2,-1.1301386,1.1128408,-0.7879846,-0.8383699,-0.7965668,-0.43435082,-0.047863416,-1.0794089,1.0437318,0.01565609
2027,3,-0.89849913,0.5027234,-0.72704303,-0.65013254,-0.44387707,0.13992801,-0.15857196,-1.1400914,1.0817248,0.015426528
2027,4,-0.63047016,-0.06636503,-0.5688352,-0.27238044,-0.019260578,1.0312766,-0.37472293,-1.2063069,1.1442832,0.014923191
2027,5,-0.10582167,-0.34188122,0.047293425,0.15099034,0.46466708,1.7796336,-0.6058692,-1.2601647,-0.095872246,0.01428185
2027,6,0.6493888,-0.47029346,0.9684902,0.46039867,0.9689488,1.3766202,-0.8165772,-1.286143,-0.99803454,0.013619745
2027,7,1.2589121,-0.52420723,1.6258808,0.6098751,1.261003,0.35210595,-0.95522046,-1.2776927,-1.4043504,0.013004106
2027,8,1.4816666,-0.48756382,1.4943388,0.6351699,1.2949363,-0.17417964,-0.9300389,-1.2390815,-1.6182504,0.012485268
2027,9,1.1379806,-0.0655426,0.5379583,0.5506235,0.6880683,-0.5051185,-0.6075276,-1.1836334,-0.5657689,0.0120909475
2027,10,0.35070243,0.6378562,-0.3809209,0.2998993,-0.34400433,-0.7812265,-0.11193499,-1.1288466,0.05093417,0.011825575
2027,11,-0.62532246,1.365386,-0.62000644,-0.12165294,-1.0620747,-0.9449358,0.12682882,-1.0912535,0.19665563,0.011701969
2027,12,-1.1394992,1.6335118,-0.72020143,-0.5595854,-1.1163955,-0.90490824,0.10415852,-1.0792627,0.55176336,0.0116995275
