Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.48377,1.6296648,-0.70953965,-0.96753573,-0.8115863,-0.88899815,0.03411716,-0.9708671,0.403024,-0.73630947
2025,2,-1.3589976,0.9923291,-0.721304,-0.6769743,-0.86080194,-0.56928146,0.039815515,-1.0226713,0.69539994,-0.6675816
2025,3,-0.93229014,0.3616272,-0.69628096,-0.26294494,-0.9280655,-0.050955117,0.042318597,-1.0773321,0.99466574,-0.5693407
2025,4,-0.40009552,-0.30586904,-0.6605428,0.15371695,-0.90149283,0.98824,0.039850533,-1.0933448,1.259073,-0.48148766
2025,5,0.3670853,-1.2328943,-0.19658121,0.5262676,-0.3644601,1.6253839,0.0317587,-1.0831075,1.324198,-0.40439606
2025,6,0.960889,-1.6154834,1.1171222,0.8847451,0.87195134,1.0822309,0.026345171,-1.0446063,-0.3523459,0.380523
2025,7,1.2523545,-0.4227479,1.934001,1.0885341,1.8142532,0.39332882,0.02065118,-1.0553384,-0.91179246,1.4583758
2025,8,1.2840343,-0.022703337,1.5500228,0.92137337,1.5297158,-0.12723713,0.017655613,-1.0632713,-1.7482767,1.5645874
2025,9,1.0446854,-0.030709172,0.25115138,0.30634752,0.57740915,-0.45126134,0.017026957,-1.0942085,-1.1778463,0.5927828
2025,10,0.32225406,-0.080186255,-0.46869507,-0.53473294,-0.24099192,-0.70387447,0.018711807,-1.068531,-0.5082223,-0.21968527
2025,11,-0.5346279,0.1578505,-0.6133663,-1.0906477,-0.47037306,-0.86363995,0.020545313,-1.0497919,-0.22330424,-0.59948915
2025,12,-1.2306744,0.68535906,-0.70782375,-1.1068413,-0.5893928,-0.822309,0.018715361,-1.0552293,0.13786624,-0.7035772
2026,1,-1.4501003,1.2385626,-0.75928587,-0.9002802,-0.6923307,-0.6404737,0.010046563,-1.0411681,0.42655665,-0.7394133
2026,2,-1.304676,1.2190546,-0.7693858,-0.6326964,-0.78116477,-0.2681092,0.011166788,-1.0468876,0.73640263,-0.72476697
2026,3,-0.8399257,0.36344332,-0.74928296,-0.23253308,-0.8575332,0.38430458,0.012063882,-1.0496825,1.0150802,-0.64085996
2026,4,-0.22632408,-0.4268185,-0.6824048,0.19094934,-0.86686003,1.2261703,0.0127598485,-1.0486792,1.2779367,-0.50296575
2026,5,0.5157792,-1.2543907,-0.029210744,0.55036896,-0.24789092,1.6593852,0.013260604,-1.0462029,1.1769737,-0.4167035
2026,6,1.0303398,-1.5469455,1.3479542,0.8827485,0.99299586,1.1567973,0.013567278,-1.0441508,-0.42009485,0.38757265
2026,7,1.2644608,-0.4922343,2.0080988,1.0370386,1.7953484,0.3130105,0.013750301,-1.0447206,-1.0156566,1.5157831
2026,8,1.2443616,-0.02005044,1.394646,0.87046915,1.4900924,-0.21716319,0.013838484,-1.0446845,-1.7881339,1.4943686
2026,9,0.9228017,-0.04577063,0.15802822,0.24189287,0.57777846,-0.5435177,0.013878191,-1.0439742,-1.0853276,0.61363745
2026,10,0.15033357,-0.06070095,-0.48240975,-0.60276335,-0.23158896,-0.8066237,0.013901237,-1.0408263,-0.4604432,-0.22942938
2026,11,-0.67580146,0.27754137,-0.6264624,-1.0750229,-0.45985717,-0.9458641,0.013930765,-1.039087,-0.16561572,-0.5804486
2026,12,-1.2998912,0.7975358,-0.72049665,-1.0656347,-0.5855504,-0.87492573,0.013966166,-1.0386044,0.17669767,-0.6887023
2027,1,-1.4454693,1.2712295,-0.7706597,-0.86721504,-0.6946791,-0.6583868,0.013975981,-1.0377325,0.45022237,-0.7393983
2027,2,-1.2280709,1.2646836,-0.77756834,-0.6012685,-0.7836458,-0.2783467,0.013911481,-1.0377945,0.7708568,-0.72885257
2027,3,-0.7355334,0.32933646,-0.7602138,-0.19704148,-0.86466855,0.39848185,0.013872857,-1.0374793,1.045414,-0.6461113
2027,4,-0.05491914,-0.47770095,-0.6762794,0.21428853,-0.8430662,1.2869915,0.013851728,-1.0368974,1.3002083,-0.5045677
2027,5,0.6386085,-1.306622,0.09805977,0.56971604,-0.18206474,1.7056011,0.013841972,-1.0363098,1.0161836,-0.41683742
2027,6,1.091522,-1.5563496,1.5137991,0.88724136,1.0686709,1.1315951,0.013839038,-1.0358394,-0.49467468,0.40311012
2027,7,1.2756225,-0.47635546,2.03625,1.0165155,1.8055716,0.2551839,0.013839535,-1.0354706,-1.1138202,1.5321279
2027,8,1.2027475,-0.021360029,1.272457,0.81257766,1.4661827,-0.2554351,0.013841523,-1.0350145,-1.7949036,1.4596467
2027,9,0.7744281,-0.04946574,0.06705725,0.16677213,0.5452803,-0.57273614,0.0138438,-1.0344979,-0.98350734,0.609234
2027,10,-0.02972556,-0.0636195,-0.49535212,-0.6627264,-0.2540938,-0.83050036,0.013845864,-1.0339696,-0.43081766,-0.23670465
2027,11,-0.83940357,0.27740178,-0.6419286,-1.0770712,-0.4661093,-0.9600277,0.013847607,-1.0336171,-0.12139772,-0.58080876
2027,12,-1.3515476,0.80910814,-0.7321116,-1.043837,-0.59246737,-0.87627697,0.013849149,-1.0333636,0.2122244,-0.68877226
